"Class","Total Engagement","Attendance %","Video Views","Video View %","Total Slide Count","Slide Deck Views","Slides Viewed Count","Poll Question Count","Poll Responses Total","Poll Response Correct Count","Poll Response Incorrect Count","Note Events","Q&A Events","Confusion Flags Enabled"
"COMP2000_SHFYR_2026 - Lecture_1/01 - 23WW T1","194","16","194","45","0","0","0","0","0","0","0","0","0","0"
"COMP2000_SHFYR_2026 - Lecture_1/01 - 23WW T1","52","13","52","16","0","0","0","0","0","0","0","0","0","0"
