"Class","Total Engagement","Attendance %","Video Views","Video View %","Total Slide Count","Slide Deck Views","Slides Viewed Count","Poll Question Count","Poll Responses Total","Poll Response Correct Count","Poll Response Incorrect Count","Note Events","Q&A Events","Confusion Flags Enabled"
"COMP2000_SHFYR_2026 - Lecture_1/01 - 23WW T1","216","14","216","44","0","0","0","0","0","0","0","0","0","0"
"COMP2000_SHFYR_2026 - Lecture_1/01 - 23WW T1","142","11","142","36","0","0","0","0","0","0","0","0","0","0"
"COMP2000_SHFYR_2026 - Lecture_1/01 - 23WW T1","53","9","53","14","0","0","0","0","0","0","0","0","0","0"
